cell,year,cwb,latitude,longitude
7726,2025,260.3,44.53223286202032,5.505724935071085
7727,2025,211.5,44.5292876791833,5.606218705684135
7793,2025,323.79999999999995,44.4934470280217,3.995133681088813
7794,2025,285.8,44.491883440522926,4.095619953745955
7795,2025,-62.400000000000006,44.49022774711775,4.196100599229328
7796,2025,-82.69999999999999,44.48848007496277,4.2965751584561325
7797,2025,-252.8,44.486640579383774,4.397043364039457
7798,2025,-252.10000000000002,44.48470939246793,4.497505003842425
7799,2025,-282.59999999999997,44.48268655622005,4.59795972184346
7800,2025,402.7,44.48057204549802,4.698407074668375
7801,2025,428.4,44.47836579991985,4.79884667542017
7802,2025,409.1,44.47606766518658,4.899278194379288
7803,2025,394.5,44.4736774266835,4.99970127177195
7804,2025,364.3,44.4711950058525,5.100115460922187
7805,2025,330.8,44.46862055040835,5.20052032584886
7806,2025,245.5,44.46595433331562,5.300915572675312
7807,2025,312.0,44.4631965935573,5.40130100142529
7875,2025,215.4,44.42152029662738,3.9930168329423874
7876,2025,-59.199999999999996,44.41995884571613,4.09337498293556
7877,2025,-97.69999999999999,44.41830531562162,4.19372742610513
7878,2025,-268.5,44.41655981939715,4.294073673100687
7879,2025,-284.7,44.41472256036808,4.394413523002665
7880,2025,-248.0,44.4127938224219,4.49474689369395
7881,2025,-430.6,44.41077372656473,4.595073474554168
7882,2025,356.0,44.40866219496305,4.695392765925368
7883,2025,390.3,44.4064591069657,4.7957043103877375
7884,2025,331.2,44.40416424011902,4.896007753131725
7885,2025,-305.79999999999995,44.40177727716433,4.996302765580685
7886,2025,322.9,44.399298084521625,5.0965889755027325
7887,2025,337.20000000000005,44.39672682971005,5.196866001699627
7888,2025,296.0,44.394063878116725,5.29713350217895
7889,2025,283.20000000000005,44.391309655713776,5.39739113716026
7958,2025,122.9,44.349596286696375,3.990904990955655
7959,2025,-105.1,44.348036991358,4.091135489648147
7960,2025,-60.09999999999999,44.34638568694288,4.191360195293887
7961,2025,-229.1,44.344642412862775,4.291578589104698
7962,2025,-329.6,44.34280739411457,4.391790492753295
7963,2025,-363.09999999999997,44.34088109284382,4.491995949872955
7964,2025,-380.5,44.33886371740623,4.592194722328043
7965,2025,339.2,44.33675511689633,4.692386249342388
7966,2025,351.4,44.33455511583045,4.792570014646555
7967,2025,323.1,44.3322634337376,4.8927456658164825
7968,2025,-316.9,44.32987967857313,4.992912923938852
7969,2025,353.1,44.32740373623162,5.093071491425688
7970,2025,334.3,44.32483582049875,5.193221037679575
7971,2025,284.8,44.32217625185047,5.293361186813778
7972,2025,266.5,44.31942549889253,5.39349146526013
7973,2025,252.2,44.31658383320848,5.493611431149535
7974,2025,243.39999999999998,44.31365091509088,5.593721005482823
8043,2025,113.30000000000001,44.277674987923,3.988798331249368
8044,2025,38.099999999999994,44.27611787739075,4.08890145685287
8045,2025,71.10000000000001,44.2744688996902,4.188998819267095
8046,2025,-293.9,44.27272798351702,4.289089852420857
8047,2025,-320.4,44.27089529949535,4.389174283264428
8048,2025,-312.20000000000005,44.26897146314548,4.48925220419083
8049,2025,-254.6,44.266956806997,4.58932347830966
8050,2025,-266.5,44.26485110298778,4.689387536093965
8051,2025,-250.9,44.26265406268122,4.789443814448967
8052,2025,345.7,44.2603653418548,4.889491957628443
8053,2025,-241.3,44.25798459571895,4.989531755396155
8054,2025,-231.1,44.25551189311268,5.089563002258385
8055,2025,373.1,44.25294758159408,5.189585429621703
8056,2025,319.6,44.25029173179942,5.2895986321939
8057,2025,233.0,44.24754444728075,5.38960197517444
8058,2025,216.0,44.24470622069435,5.48959486875041
8059,2025,233.6,44.24177701006757,5.589577296522415
8134,2025,53.89999999999999,44.20575646790977,3.986697051193675
8135,2025,6.800000000000011,44.20420152449995,4.086672952645758
8136,2025,-13.400000000000006,44.2025548986221,4.18664323506078
8137,2025,-336.7,44.20081643829465,4.286607297763427
8138,2025,-343.4,44.19898623099975,4.386564713298445
8139,2025,-321.1,44.1970649647403,4.48651551031386
8140,2025,-254.7,44.1950531090555,4.58645962398982
8141,2025,-295.5,44.19295036112732,4.686396549817197
8142,2025,-279.70000000000005,44.1907561993194,4.786325691389522
8143,2025,-212.4,44.1884701926594,4.886246636075527
8144,2025,-239.5,44.186092192974776,4.986159251057623
8145,2025,-297.29999999999995,44.18362255397083,5.086063510983095
8146,2025,-231.7,44.18106179754105,5.185959225790775
8147,2025,-77.69999999999999,44.1784098315972,5.28584587243287
8148,2025,-263.2,44.1756662623826,5.385722584501883
8149,2025,194.39999999999998,44.17283157532385,5.4855886551108375
8150,2025,152.1,44.1699060537991,5.58544419413938
8219,2025,-72.79999999999998,44.14124064098785,3.38540801293717
8222,2025,220.20000000000002,44.13795079941548,3.685024288923688
8223,2025,-22.300000000000004,44.13667221040455,3.784888145632045
8224,2025,-71.60000000000001,44.1353023048365,3.88474715150519
8225,2025,21.399999999999984,44.13384091502135,3.984601143161365
8226,2025,-31.299999999999983,44.13228805082705,4.08444999268986
8227,2025,-0.19999999999998863,44.1306436997729,4.18429339742641
8228,2025,-343.6,44.12890769162845,4.284130769597152
8229,2025,-307.6,44.127080078793725,4.383961567994367
8230,2025,-297.9,44.12516151884185,4.48378566549156
8231,2025,-237.89999999999998,44.12315256875245,4.583602990721557
8232,2025,-248.7,44.12105286823788,4.68341315641141
8233,2025,-254.7,44.118861587844926,4.78321556298304
8234,2025,-235.2,44.1165781852552,4.883009667975608
8235,2025,-254.1,44.1142027964424,4.982795380638268
8236,2025,-221.10000000000002,44.11173604994715,5.08257301279667
8237,2025,-169.29999999999998,44.10917854511465,5.182342452068058
8238,2025,-190.0,44.10653029597895,5.2821028323928525
8239,2025,-97.30000000000001,44.10379072449332,5.3818530377030624
8240,2025,-43.69999999999999,44.10095994760052,5.48159244362219
8310,2025,-135.3,44.06931801609245,3.3840786842243173
8311,2025,17.599999999999994,44.068314124896624,3.483827338467605
8312,2025,-85.39999999999999,44.06721900540808,3.583572592111715
8313,2025,177.2,44.06603313384922,3.6833141559023024
8314,2025,216.39999999999998,44.06475631909962,3.783051349832808
8315,2025,26.299999999999997,44.06338813643335,3.882783600384165
8316,2025,11.90000000000002,44.0619285247261,3.982510679903785
8317,2025,3.299999999999983,44.0603776375577,4.082232649057603
8318,2025,16.099999999999994,44.05873553341435,4.181949404469425
8319,2025,-64.19999999999999,44.0570020275783,4.281660355350603
8320,2025,-62.099999999999994,44.05517710037625,4.381364842272357
8321,2025,-297.9,44.05326129853648,4.48106257967528
8322,2025,-454.9,44.05125521293707,4.580753449535092
8323,2025,-277.4,44.0491585160974,4.680437218654458
8324,2025,-248.2,44.04697013579185,4.780113343210792
8325,2025,-355.4,44.04468934219925,4.879781040961753
8326,2025,-272.6,44.04231658992413,4.979440140651048
8327,2025,-235.70000000000002,44.0398528049506,5.07909150550521
8328,2025,-242.10000000000002,44.03729846669582,5.178735107518783
8329,2025,-316.7,44.0346537370058,5.278369399264795
8330,2025,-156.29999999999998,44.03191817363625,5.377993119996645
8331,2025,-48.5,44.0290914517294,5.477606065079092
8403,2025,306.2,43.9963961932355,3.4823742670968825
8404,2025,151.79999999999998,43.995302908461824,3.5819931023642924
8405,2025,47.0,43.99411890409313,3.6816084555534174
8406,2025,135.9,43.99284386902315,3.781219493396628
8407,2025,1.8999999999999844,43.991477394590426,3.880825339937875
8408,2025,-38.29999999999998,43.9900195154231,3.980425778984977
8409,2025,26.0,43.98847057570465,4.080021139335238
8410,2025,-46.099999999999994,43.986830749825,4.179611507619945
8411,2025,5.599999999999994,43.985099814188,4.279196259418955
8412,2025,-39.69999999999999,43.98327761596275,4.37877462387867
8413,2025,-418.6,43.98136452624315,4.478346234523295
8414,2025,-386.0,43.97936100989445,4.577910900573867
8415,2025,-300.6,43.97726688690793,4.677468507681395
8416,2025,-242.5,43.97508129430128,4.777018743212517
8417,2025,-324.9,43.972803417142224,4.876560635614492
8418,2025,-293.09999999999997,43.97043372234378,4.97609363551807
8419,2025,-333.1,43.96797325529393,5.07561891508144
8420,2025,-421.6,43.965422294864325,5.175136636723765
8421,2025,-362.5,43.96278093394987,5.2746449302459
8422,2025,-345.4,43.9600490162616,5.374142554701122
8423,2025,-316.79999999999995,43.957226156836825,5.473629527581985
8493,2025,302.5,43.92548254211788,3.38142840555975
8494,2025,291.6,43.92448162919045,3.48092446656159
8495,2025,211.30000000000004,43.92339014541185,3.58041740578118
8496,2025,-380.9,43.92220804082768,3.679907061764288
8497,2025,-228.39999999999998,43.92093484176163,3.779392375546095
8498,2025,-182.7,43.91957012317928,3.878872222066892
8499,2025,-235.7,43.9181140323493,3.97834644932742
8500,2025,-79.5,43.916567087566825,4.077815596679855
8501,2025,-65.69999999999999,43.9149295506302,4.177279838248262
8502,2025,-83.39999999999998,43.913201173355326,4.276738559445673
8503,2025,-417.3,43.91138167046535,4.376190962065038
8504,2025,-386.5,43.909471205848526,4.475636663614075
8505,2025,-262.2,43.907469993536125,4.57507541034445
8506,2025,-278.8,43.9053780389193,4.674507097522243
