fid;alt;ru;cwb_2020;cwb_2021;cwb_2022;cwb_2023;cwb_2024;cwb_2025
102;160.03999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
103;149.92999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
104;166.42999;2;-312.84313;-426.43792;-625.41705;-456.98969;-409.76048;-414.10001
105;176.06;2;-315.38973;-426.34039;-625.41705;-456.98969;-409.76048;-414.10001
106;174.2;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
107;195.12;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
108;215.41;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
109;179.91;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
110;175.28999;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
111;182.78;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;-400.20001
112;173.58;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;-414.10001
113;181.63;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
114;195.61;2;-331.86039;-442.53541;-627.34112;-466.24293;-414.88877;
115;205.03;2;-311.05526;-425.40743;-627.34112;-466.24293;-414.88877;
116;220.10001;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
117;218.39;2;-311.05526;-425.40743;-609.22018;-484.27474;-392.70406;
118;180.08;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
119;212.91;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
120;212.56;2;-306.59575;-417.27662;-619.62838;-461.74979;-402.87007;
121;209.53999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
122;228.62;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
123;229.61;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
124;196.45;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
125;257.35999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
126;242.75999;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
127;223.83;2;-306.59575;-417.27662;-619.62838;-461.74979;-402.87007;
128;222.92999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
129;222.78;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
130;258.03;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
131;259.60001;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
132;283.64999;2;-306.59575;-417.27662;-619.62838;-461.74979;-402.87007;
133;288.98001;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
134;226.17;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
135;233.22;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
136;293.98999;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
137;356.67999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
138;288.29999;2;-306.59575;-417.27662;-619.62838;-461.74979;-402.87007;
139;273.57999;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
140;236.08;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
141;275.84;2;-315.38973;-426.34039;-619.62838;-461.74979;-402.87007;
142;328.91;2;-306.59575;-417.27662;-619.62838;-461.74979;-402.87007;
143;401.09;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
144;321.01001;2;-306.59575;-417.27662;-606.48207;-479.07744;-386.77044;
145;436.13;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
146;365.85999;2;-296.91477;-399.6687;-600.96795;-449.66503;-381.4609;
147;266.17001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
148;214.78999;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;
149;229.14999;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-414.10001
150;212.24001;2;-305.67216;-407.70875;-600.96795;-449.66503;-381.4609;-414.10001
151;192.08;2;-305.67216;-407.70875;-609.7054;-448.35113;-392.5125;-414.10001
152;172.72;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
153;173.07001;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
154;151.31;2;-307.65648;-414.10613;-609.7054;-448.35113;-392.5125;-414.10001
155;155.38;2;-307.65648;-414.10613;-609.7054;-463.60537;-416.74471;-414.10001
156;475.79001;2;-296.91477;-399.6687;-595.8819;-470.92504;-373.31533;
